video_id,frame,time_start_s,time_end_s,scene_duration_s,scene_id,notes
anime1,34,1.133,3.2,2.067,scene_01,jump_cut
anime1,96,3.2,4.367,1.167,scene_02,jump_cut
anime1,131,4.367,6.201,1.834,scene_03,jump_cut
anime1,186,6.201,7.134,933,scene_04,jump_cut
anime1,214,7.134,8.134,1.0,scene_05,jump_cut
anime1,244,8.134,9.201,1.067,scene_06,jump_cut
anime1,276,9.201,10.901,1.7,scene_07,jump_cut
anime1,327,10.901,13.501,2.6,scene_08,jump_cut
anime1,405,13.501,14.701,1.2,scene_09,jump_cut
anime1,441,14.701,16.335,1.633,scene_10,jump_cut
anime1,490,16.335,17.968,1.633,scene_11,jump_cut
anime1,539,17.968,19.535,1.567,scene_12,jump_cut
anime1,586,19.535,21.535,2.0,scene_13,jump_cut
anime1,646,21.535,22.869,1.333,scene_14,jump_cut
anime1,686,22.869,24.102,1.233,scene_15,jump_cut
anime1,723,24.102,25.603,1.5,scene_16,jump_cut
anime1,768,25.603,26.103,0.5,scene_17,jump_cut
anime1,783,26.103,27.169,1.067,scene_18,jump_cut
anime1,815,27.169,29.536,2.367,scene_19,jump_cut
anime1,886,29.536,32.67,3.134,scene_20,jump_cut
anime1,980,32.67,34.303,1.633,scene_21,fadeout
anime1,1029,34.303,36.037,1.734,scene_22,jump_cut
anime1,1081,36.037,37.637,1.6,scene_23,jump_cut
anime1,1129,37.637,39.471,1.834,scene_24,jump_cut
anime1,1184,39.471,41.271,1.8,scene_25,jump_cut
anime1,1238,41.271,42.504,1.233,scene_26,jump_cut
anime1,1275,42.504,43.771,1.267,scene_27,jump_cut
anime1,1313,43.771,45.471,1.7,scene_28,jump_cut
anime1,1364,45.471,47.138,1.667,scene_29,jump_cut
anime1,1414,47.138,48.672,1.533,scene_30,jump_cut
anime1,1460,48.672,51.739,3.067,scene_31,jump_cut
anime1,1552,51.739,52.872,1.133,scene_32,jump_cut
anime1,1586,52.872,54.072,1.2,scene_33,jump_cut
anime1,1622,54.072,56.106,2.034,scene_34,jump_cut
anime1,1683,56.106,57.439,1.333,scene_35,jump_cut
anime1,1723,57.439,59.406,1.967,scene_36,jump_cut
anime1,1782,59.406,60.906,1.5,scene_37,jump_cut
anime1,1827,60.906,62.306,1.4,scene_38,jump_cut
anime1,1869,62.306,65.24,2.934,scene_39,jump_cut
anime1,1957,65.24,67.573,2.334,scene_40,jump_cut
anime1,2027,67.573,,,scene_41,jump_cut
anime2,133,4.434,8.101,3.667,scene_01,jump_cut
anime2,243,8.101,11.801,3.7,scene_02,jump_cut
anime2,354,11.801,20.702,8.901,scene_03,jump_cut
anime2,621,20.702,25.803,5.101,scene_04,scene_change
anime2,774,25.803,28.003,2.2,scene_05,jump_cut
anime2,840,28.003,30.303,2.3,scene_06,jump_cut
anime2,909,30.303,32.237,1.934,scene_07,jump_cut
anime2,967,32.237,33.703,1.467,scene_08,jump_cut
anime2,1011,33.703,37.704,4.0,scene_09,jump_cut
anime2,1131,37.704,40.204,2.5,scene_10,jump_cut
anime2,1206,40.204,41.171,967,scene_11,jump_cut
anime2,1235,41.171,43.271,2.1,scene_12,jump_cut
anime2,1298,43.271,45.538,2.267,scene_13,jump_cut
anime2,1366,45.538,47.638,2.1,scene_14,jump_cut
anime2,1429,47.638,50.305,2.667,scene_15,jump_cut
anime2,1509,50.305,52.005,1.7,scene_16,jump_cut
anime2,1560,52.005,54.105,2.1,scene_17,jump_cut
anime2,1623,54.105,,,scene_18,jump_cut
anime3,42,0,1.752,1.752,scene_1,
